@relation proxima_bandeira

@attribute Rate real
@attribute Cases real
@attribute Vacinated real
@attribute Ocupacao real
@attribute bandeira {Amarela, Laranja, Vermelha}

@Data
1,50872,1962,918,Amarela
1,64174,19677,810,Amarela
1.02,77475,25688,790,Amarela
1.02,76200,33616,907,Amarela
1.02,74925,50655,846,Amarela
1.02,54742,109866,894,Laranja
1.02,51546,178468,890,Laranja
1.03,44299,194230,689,Laranja
1.03,24759,217869,708,Laranja
1.03,32197,285620,851,Laranja
1.04,51879,894673,936,Laranja
1.05,53582,1056807,934,Laranja
1.05,54940,1132894,790,Laranja
1.06,29026,1171276,870,Laranja
1.06,26986,1294188,1024,Laranja
1.07,62715,1435594,1065,Laranja
1.08,61602,1914940,961,Laranja
1.08,34027,1923197,1001,Laranja
1.09,59925,2163103,1257,Laranja
1.09,71704,2321824,1309,Laranja
1.09,75102,2468014,1336,Vermelha
1.1,75495,2617603,1362,Vermelha
1.1,69609,2688684,1084,Vermelha
1.1,80508,2720738,1129,Vermelha
1.09,32321,2852528,1423,Vermelha
1.09,70764,2991584,1526,Vermelha
1.08,75412,3314668,1626,Vermelha
1.08,85663,3470065,1639,Vermelha
1.08,76178,3553762,1282,Vermelha
1.07,43812,3568455,1303,Vermelha
1.07,36239,3675786,1649,Vermelha
1.07,83926,3796406,1657,Vermelha
1.07,90303,3923217,1697,Vermelha
1.06,86982,4031855,1682,Laranja
1.06,90570,4113848,1632,Laranja
1.06,79069,4143856,1407,Laranja
1.05,47774,4161881,1357,Laranja
1.05,49293,4252255,1696,Laranja
1.04,82493,4339819,1742,Laranja
1.04,89992,4450408,1733,Laranja
1.03,100158,4552411,1776,Laranja
1.03,84245,4648917,1849,Laranja
1.02,85948,4679944,1369,Laranja
1.02,44326,4702964,1369,Laranja
1.01,38927,4825484,1762,Laranja
1.01,84494,4955061,1772,Laranja
1,90638,5093555,1699,Laranja
1,91097,5241777,1697,Laranja
0.99,70238,5280371,1283,Laranja
0.99,43515,5353128,1377,Laranja
0.99,31359,5400335,1278,Laranja
0.99,28645,5602236,1800,Laranja
0.99,86979,5885883,1731,Laranja
1,92625,6105595,1751,Laranja
1,86652,6407236,1671,Laranja
0.99,93317,6851273,1732,Laranja
0.99,71832,6987492,1271,Laranja
0.99,37017,7056000,1284,Laranja
0.99,35785,7405905,1731,Laranja
0.98,82186,7744067,1593,Laranja
0.98,73513,8152008,1656,Laranja
0.98,73174,8572131,1553,Laranja
0.98,85774,9183144,1604,Laranja
0.98,67636,9518727,1296,Laranja
0.98,42980,9606862,1320,Laranja
0.98,30624,10203252,1554,Laranja
0.97,69381,10725632,1681,Laranja
0.97,79719,10949701,1315,Laranja
0.97,45178,11404050,1616,Laranja
0.97,69105,12289199,1506,Laranja
0.98,71137,12513937,1248,Laranja
0.98,32572,12585256,1274,Laranja
